Host,business/finance,education/research,entertainment,health/medical,news/press,politics/government/law,sports,tech/science
27997,0.39911640208063415,0.08715369082229052,0.38061753969762097,0.015957650909017365,0.031943420681031065,0.015243444767503738,0.033695781884714227,0.03627206915718796
9316,0.5013900838616853,0.01791320353503636,0.2919280899055497,0.01651217948405332,0.010161763943758471,0.01317885476399369,0.024080342753084665,0.12483548175283843
27045,0.6449441851676871,0.009480981172752827,0.26074007102431945,0.007038164371817163,0.016589030913183672,0.0018294038122063255,0.04381023193664627,0.015567931601387067
19805,0.01515007289848202,0.027481304057144433,0.00900544492575966,0.8686866262964086,0.006405771330149077,0.05469685783917986,0.0023427673857335037,0.016231155267142847
26580,0.08101981153384867,0.3098290459507866,0.2650325845856457,0.005044583492304157,0.03744339958340405,0.07450045054794135,0.004047854645245824,0.22308226966082365
16886,0.3158996347580404,0.03446489581321466,0.39033142987688274,0.041936165381889025,0.022771417732207398,0.05735590753614861,0.03681589679088758,0.10042465211072968
27931,0.4748735801891064,0.022891236724227524,0.42849096330157854,0.010864437003855308,0.007293370749007052,0.022922574021473956,0.018619976517071878,0.01404386149367925
8977,0.39366508054558846,0.08379206522195295,0.2700178679777651,0.034431648767538764,0.03457303660135371,0.012792068246351016,0.08759845130923828,0.08312978133021164
20285,0.18742938994651795,0.05614843149665899,0.1855984996723869,0.05598981077773799,0.011578183326260623,0.045184921695561674,0.2807111463876154,0.1773596166972604
2427,0.06492104076588456,0.5082767254816434,0.1343494288976022,0.015587724687672128,0.0137893174767073,0.009962223955570004,0.010066594431157412,0.243046944303763
1324,0.4816280587295868,0.02212897792514754,0.37383100656639556,0.008967139943179355,0.006911388541204186,0.061569030287247514,0.011852458384404456,0.03311193962283449
25006,0.07931855547417001,0.009443105704884179,0.8846362071287527,0.0032652443210002737,0.007075176953483677,0.0044276768038132505,0.0063921663837169275,0.005441867230179062
13134,0.672905281380076,0.0034995873549747572,0.061391369079363385,0.015111494778162553,0.013567028913687653,0.22548959010681904,0.0021111842074523646,0.005924464179464354
11834,0.5377951411596646,0.023174586785365735,0.2705532332807618,0.027010300157181706,0.030169861053750333,0.024543156200847138,0.05964908222792644,0.027104639134502163
19930,0.08068363168835005,0.00532897848757457,0.036041605586510594,0.01571170220206904,0.01638857877128519,0.8226096268466254,0.007229592020608357,0.01600628439697678
12212,0.29028132127092016,0.011376535539300923,0.2323322230327305,0.13546862030479467,0.2190583612354728,0.07902487425658526,0.012038231325435545,0.020419833034760318
14062,0.06974230755566968,0.029744231583126446,0.048023701694373595,0.014370422726473282,0.002929224738843817,0.013885971793779994,0.015871669937083287,0.8054324699706499
18965,0.2871842401651643,0.056023172084560036,0.2871531711101283,0.014230934558507328,0.004250646301298789,0.21771945290675215,0.03683002105899673,0.09660836181459237
10744,0.18681706789773744,0.13506281929123845,0.28186816927093633,0.03193587133240699,0.05783165012562668,0.17514893051845784,0.01982607425284431,0.11150941731075201
20664,0.14331164260856344,0.02295718294649615,0.09850621211137042,0.009019283470930135,0.011712438882298178,0.004555948962655762,0.6824332460516653,0.0275040449660207
17021,0.3428015926323427,0.029442185641813768,0.15407215191351598,0.04612200426187481,0.03854239441092273,0.02006233107545165,0.014908150640734159,0.35404918942334423
8212,0.23907726554946665,0.0790873830430222,0.2111816779102061,0.016298867202068162,0.04438055385896212,0.03081498694862027,0.009146253955136699,0.37001301153251787
20736,0.7427145828954741,0.024881377915640556,0.16243072445353504,0.02875930227704058,0.00895746596509983,0.013791915741955183,0.005329438861376384,0.013135191889878309
11963,0.1282319693557752,0.05917385342904374,0.44131919182163226,0.0008198020576086929,0.014910960049099826,0.014835810423712775,0.002757540115093474,0.33795087274803415
12970,0.19984566840433912,0.023804251692617188,0.09624177293949103,0.21084407675500014,0.029792998861896222,0.38784853263300134,0.012185594567788368,0.03943710414586655
19053,0.34177653399504127,0.0702844280440455,0.06089998648330485,0.31291937989639956,0.026806295955213128,0.00892879989544667,0.04274017264203174,0.13564440308851725
20877,0.026031168891834523,0.007081199944949819,0.14990594172797,0.0015721346358047725,0.010656540048021246,0.7784499180302974,0.009566919067730972,0.01673617765339149
6688,0.21520260301646277,0.019968972491774626,0.15421546468238878,0.011343539597169617,0.2558219413019086,0.033667060472421025,0.21574604212465817,0.09403437631321634
1485,0.06757548329602384,0.056082433670320495,0.39472969104361927,0.041192169694077206,0.020775486374469663,0.3581559841660588,0.006116544051554291,0.05537220770387633
9915,0.07344878136953294,0.013414454367646711,0.8618946655841402,0.014347216070325283,0.00787629645291387,0.007800770704729537,0.009513480084110182,0.011704335366601395
2785,0.29154316886122394,0.08731323401662369,0.40407305343263983,0.013064521655780082,0.023557508796161107,0.005966295905326514,0.035214991276642675,0.1392672260556021
20128,0.19085505779919484,0.46797031540977635,0.05828971059257067,0.030918742703825858,0.10087088011266983,0.02094740119942053,0.017006904726445313,0.11314098745609674
12295,0.40377048069705235,0.05008992203235206,0.3206166995281501,0.03814150165488196,0.012485041325885052,0.09470542757571984,0.011550917834003697,0.06864000935195504
